date,open,high,low,close,volume,amount
2025-08-18,53.5,53.8,51.75,51.8,80816682.0,4240548938.0
2025-08-19,51.85,52.15,49.66,50.05,77786478.0,3938378220.0
2025-08-20,49.5,52.55,49.4,51.75,106235006.0,5415142819.0
2025-08-21,51.85,53.05,50.9,51.7,67561130.0,3500967477.0
2025-08-22,52.85,57.5,52.7,56.9,296455102.0,16408960102.0
2025-08-25,58.45,61.75,56.0,57.8,235311070.0,13797807969.0
2025-08-26,57.0,57.45,55.4,56.2,104068446.0,5861733754.0
2025-08-27,57.0,60.3,55.75,56.25,221959736.0,12950278965.0
2025-08-28,57.0,62.8,56.65,62.3,328184511.0,19836412050.0
2025-08-29,62.25,62.25,59.9,60.7,138500782.0,8421519659.0
2025-09-01,64.75,65.65,60.55,63.65,188898351.0,11900231386.0
2025-09-02,63.8,64.1,58.75,60.7,189292322.0,11551325833.0
2025-09-03,61.85,62.1,59.35,60.0,81425532.0,4921642177.0
2025-09-04,60.2,60.8,55.35,56.0,187841288.0,10686938015.0
2025-09-05,56.8,60.2,56.3,58.7,158505131.0,9247560551.0
2025-09-08,58.7,58.8,56.65,58.15,97043391.0,5587725876.0
2025-09-09,58.0,60.65,56.0,58.25,120101934.0,7076891614.0
2025-09-10,58.7,60.95,58.7,60.35,90346929.0,5418157278.0
2025-09-11,60.1,64.45,59.4,63.35,134823644.0,8470709376.0
2025-09-12,64.2,65.0,62.1,62.75,103139295.0,6551506993.0
2025-09-15,63.65,64.5,62.55,63.0,64804768.0,4105909630.0
2025-09-16,63.1,64.2,61.95,63.2,76132007.0,4815565275.0
2025-09-17,64.3,67.8,63.7,67.7,169646110.0,11267083951.0
2025-09-18,68.55,73.3,67.7,69.5,243974812.0,17235177264.0
2025-09-19,71.1,72.5,68.65,69.75,151250095.0,10678918079.0
2025-09-22,69.75,74.05,69.05,73.35,136569630.0,9878453943.0
2025-09-23,74.05,74.7,70.25,72.6,135366490.0,9766187429.0
2025-09-24,72.8,78.25,72.15,76.75,150321829.0,11402208955.0
2025-09-25,77.2,78.8,75.2,76.8,114883313.0,8861911614.0
2025-09-26,75.9,77.8,72.2,72.95,141599380.0,10641068508.0
2025-09-29,74.0,76.5,73.1,76.5,106533474.0,7973807065.0
2025-09-30,77.5,79.95,77.5,79.55,115419312.0,9114340568.0
2025-10-02,80.15,90.35,80.1,89.65,67389636.0,5840577417.0
2025-10-03,90.35,91.35,88.65,90.9,34462352.0,3102587937.0
2025-10-06,90.5,92.8,87.4,91.05,43900768.0,3953173088.0
2025-10-08,91.0,91.5,87.7,89.5,38845844.0,3468659227.0
2025-10-09,88.4,93.5,82.5,83.5,303809230.0,26499269878.0
2025-10-10,81.95,82.65,76.65,77.55,203174461.0,16039839476.0
2025-10-13,75.5,81.4,75.5,80.15,265993481.0,21053000125.0
2025-10-14,81.8,81.85,72.1,73.35,210423170.0,15877622091.0
2025-10-15,74.2,76.15,71.5,76.0,135742186.0,10055792360.0
2025-10-16,76.0,76.2,72.6,73.9,89385266.0,6646206862.0
2025-10-17,73.65,74.1,68.35,69.1,166659866.0,11670648306.0
2025-10-20,71.6,72.75,70.2,71.8,85998261.0,6154771202.0
2025-10-21,73.3,76.4,72.85,74.05,121886166.0,9150416914.0
2025-10-22,73.85,75.9,72.5,74.85,82298535.0,6133300353.0
2025-10-23,74.5,75.0,71.85,74.05,91305190.0,6709750973.0
2025-10-24,75.7,80.05,75.7,80.0,154628465.0,12097320317.0
2025-10-27,82.95,83.8,80.8,82.8,143794946.0,11878770764.0
2025-10-28,82.8,85.5,80.05,80.1,124471245.0,10274836310.0
2025-10-30,81.95,82.4,77.3,79.2,141883664.0,11245295756.0
2025-10-31,79.2,79.2,74.6,75.0,108145564.0,8204539498.0
2025-11-03,74.2,75.2,71.3,72.85,95882523.0,6944375404.0
2025-11-04,73.6,75.45,71.65,71.85,74920975.0,5499102985.0
2025-11-05,70.0,72.35,69.35,71.7,76003489.0,5361959810.0
2025-11-06,73.55,77.75,72.85,76.95,118576840.0,8930186892.0
2025-11-07,75.75,77.95,74.7,75.45,58051968.0,4413125308.0
2025-11-10,76.0,76.7,72.5,74.7,74373722.0,5495250755.0
2025-11-11,75.45,75.6,71.55,72.65,70851474.0,5177861386.0
2025-11-12,72.5,73.55,70.7,73.25,66485006.0,4797348967.0
2025-11-13,72.85,75.6,71.7,75.6,88521178.0,6548446640.0
2025-11-14,74.25,77.25,73.2,73.5,93053916.0,6999751274.0
2025-11-17,73.8,75.65,72.8,72.95,60837818.0,4507146855.0
2025-11-18,72.65,75.65,72.2,74.0,69119836.0,5140533578.0
2025-11-19,74.6,74.75,72.05,73.0,49252284.0,3600236181.0
2025-11-20,74.6,75.25,72.3,73.5,59009341.0,4345727602.0
2025-11-21,71.1,71.95,68.6,68.8,107859632.0,7538430313.0
2025-11-24,69.05,69.55,63.7,68.05,146771590.0,9721540241.0
2025-11-25,68.9,70.25,66.9,67.95,77251132.0,5306909261.0
2025-11-26,67.8,69.95,66.9,68.85,48414677.0,3324895741.0
2025-11-27,69.15,71.8,68.15,68.35,67041842.0,4692901086.0
2025-11-28,69.6,69.6,67.9,68.8,34635482.0,2380158686.0
2025-12-01,68.9,69.95,67.85,69.45,36618423.0,2532143772.0
2025-12-02,69.35,69.65,68.05,68.65,23942332.0,1643697393.0
2025-12-03,68.15,69.25,66.85,67.2,35626389.0,2414488068.0
2025-12-04,67.3,70.25,66.55,69.8,50376074.0,3464806371.0
2025-12-05,69.75,70.9,68.55,69.75,45551129.0,3185007812.0
2025-12-08,70.2,72.9,70.15,71.8,69233641.0,4987910867.0
2025-12-09,70.6,71.0,68.45,68.85,66229434.0,4607931833.0
2025-12-10,69.3,69.35,67.2,68.7,44357583.0,3008830804.0
2025-12-11,69.0,69.25,66.55,67.15,49462751.0,3336579001.0
2025-12-12,67.6,68.65,65.35,67.7,59855565.0,4013006713.0
2025-12-15,68.0,68.0,64.45,64.7,67089126.0,4402278480.0
2025-12-16,64.5,65.15,62.0,63.45,64784997.0,4081880316.0
2025-12-17,63.05,65.2,63.05,64.75,40298935.0,2593098164.0
2025-12-18,64.0,65.6,63.65,64.7,39415584.0,2550990720.0
2025-12-19,65.45,66.15,64.8,65.05,39163474.0,2561376268.0
2025-12-22,66.0,70.45,65.95,68.9,91315684.0,6275741564.0
2025-12-23,69.5,70.35,68.3,68.9,49966498.0,3462248497.0
2025-12-24,70.35,72.5,70.35,71.05,69359801.0,4956364778.0
2025-12-29,71.5,73.7,69.55,69.55,77352135.0,5539644531.0
2025-12-30,71.5,73.15,70.45,72.5,93554254.0,6743620823.0
2025-12-31,72.9,73.45,71.2,71.45,33185970.0,2398272191.0
2026-01-02,71.45,75.4,70.8,75.1,40669802.0,3029361268.0
2026-01-05,75.8,78.3,75.05,76.5,129977658.0,9955751452.0
2026-01-06,77.0,78.9,75.4,75.6,100574288.0,7747964894.0
2026-01-07,76.4,76.7,73.7,74.7,98807996.0,7393201282.0
2026-01-08,74.6,77.45,74.1,74.95,92810803.0,7054325352.0
2026-01-09,75.5,76.25,73.5,74.4,71074224.0,5292258826.0
2026-01-12,74.5,75.5,73.35,75.3,64618788.0,4811958827.0
2026-01-13,75.2,76.15,73.25,74.45,69713451.0,5190603701.0
2026-01-14,74.6,76.45,74.15,75.95,80458547.0,6069374666.0
2026-01-15,75.5,78.4,74.95,77.35,72736228.0,5574170845.0
2026-01-16,78.8,79.7,77.6,79.2,88248919.0,6964284811.0
2026-01-19,79.2,80.1,77.0,77.0,52927092.0,4128915754.0
2026-01-20,77.4,77.6,73.75,74.5,65838024.0,4930807502.0
2026-01-21,73.45,77.75,73.35,77.25,75590192.0,5792655804.0
2026-01-22,78.5,79.45,76.4,77.85,50921076.0,3962351190.0
2026-01-23,78.5,78.55,76.85,78.1,36489263.0,2829325430.0
2026-01-26,77.4,77.45,74.7,75.55,53747542.0,4061396346.0
2026-01-27,75.5,77.15,73.95,76.6,60791315.0,4602074537.0
2026-01-28,77.2,79.9,77.15,79.3,98301722.0,7740920348.0
2026-01-29,79.7,79.8,75.85,77.25,74734384.0,5781591339.0
2026-01-30,76.0,77.0,74.5,75.4,52788932.0,4001555554.0
2026-02-02,75.0,75.0,70.85,72.2,97837858.0,7082961928.0
2026-02-03,73.2,73.7,69.35,70.45,92793142.0,6581260145.0
2026-02-04,69.8,69.85,67.8,68.75,69297925.0,4761605369.0
2026-02-05,67.2,67.8,65.5,67.45,75575663.0,5029573001.0
2026-02-06,66.0,69.05,65.75,67.6,53161260.0,3596186460.0
2026-02-09,69.6,71.75,69.0,70.35,54489471.0,3829588097.0
2026-02-10,71.2,71.95,70.15,71.55,45008675.0,3207609902.0
2026-02-11,69.85,70.0,68.25,70.0,88262555.0,6109846387.0
2026-02-12,70.8,71.0,69.35,69.8,40928219.0,2866249860.0
2026-02-13,69.1,71.4,68.65,70.35,49969181.0,3516982735.0
2026-02-16,70.45,70.65,69.25,69.9,7346214.0,514912195.0
2026-02-20,69.9,70.45,67.7,67.7,13802979.0,944863270.0
2026-02-23,68.4,71.75,68.4,71.1,23965395.0,1699086444.0
2026-02-24,69.9,70.8,68.6,69.4,51793107.0,3600365903.0
2026-02-25,70.55,71.0,69.8,69.85,43679241.0,3069609609.0
2026-02-26,70.65,70.65,67.6,67.6,56464703.0,3887415317.0
2026-02-27,67.6,69.0,66.45,68.0,36167811.0,2461828304.0
2026-03-02,66.6,67.6,64.55,64.6,91011720.0,5952804158.0
2026-03-03,65.25,65.5,61.0,62.55,85167593.0,5347352241.0
2026-03-04,61.0,63.2,60.7,61.25,60414856.0,3722920367.0
2026-03-05,63.0,63.55,61.25,61.5,50672825.0,3157377093.0
2026-03-06,61.65,63.6,61.1,61.8,70796224.0,4410152783.0
2026-03-09,58.8,61.3,58.3,60.85,69946059.0,4180002241.0
2026-03-10,62.35,64.2,61.8,64.2,58878832.0,3716928164.0
2026-03-11,64.5,65.4,63.35,63.75,39428906.0,2537643136.0
2026-03-12,63.1,65.6,62.4,63.1,41020368.0,2614831374.0
2026-03-13,62.6,62.9,61.3,62.2,40672853.0,2520123266.0
2026-03-16,61.85,64.15,60.5,62.5,53596361.0,3338761947.0
2026-03-17,63.15,63.35,61.1,61.85,44776126.0,2779765470.0
2026-03-18,62.3,62.7,61.1,61.7,38618450.0,2385622047.0
2026-03-19,60.5,61.1,59.25,59.75,68178947.0,4095921239.0
2026-03-20,59.75,60.45,56.3,56.9,86432962.0,5015536159.0
2026-03-23,55.0,55.95,52.8,54.15,107629358.0,5834380334.0
2026-03-24,55.05,55.2,53.1,55.2,62381777.0,3394617395.0
2026-03-25,55.6,57.7,55.6,56.5,55556759.0,3135582424.0
2026-03-26,56.0,56.1,52.9,53.15,67639023.0,3640332231.0
2026-03-27,52.1,53.45,51.8,52.5,55576934.0,2930539747.0
2026-03-30,50.5,51.7,49.32,51.4,79858927.0,4044725366.0
2026-03-31,50.8,52.9,50.0,50.7,49238685.0,2517391877.0
2026-04-01,52.75,53.65,51.9,52.85,62707381.0,3312618308.0
2026-04-02,52.85,52.85,50.05,51.0,65408563.0,3332648260.0
2026-04-08,54.8,57.15,53.95,56.15,120792522.0,6718809753.0
2026-04-09,55.65,57.0,54.5,55.7,51135459.0,2865786347.0
2026-04-10,57.0,59.6,56.9,58.25,104483042.0,6108620059.0
2026-04-13,57.4,58.2,56.6,57.15,41213698.0,2356011426.0
2026-04-14,58.9,58.9,57.15,57.95,41751669.0,2421186116.0
2026-04-15,59.7,60.45,58.65,59.3,68304303.0,4065827555.0
2026-04-16,59.3,60.15,58.75,59.95,48238382.0,2873327858.0
2026-04-17,60.0,60.45,58.65,59.35,43292976.0,2572189053.0
2026-04-20,60.0,60.95,58.8,59.8,56745504.0,3399472544.0
2026-04-21,60.3,60.4,59.3,60.1,35219004.0,2113292179.0
2026-04-22,59.6,60.15,58.45,59.3,59394935.0,3512661252.0
2026-04-23,59.9,60.45,57.7,58.45,53658696.0,3153160577.0
2026-04-24,57.7,65.3,57.65,64.3,197782770.0,12413152552.0
2026-04-27,67.2,69.95,66.55,68.25,174513759.0,11971408461.0
2026-04-28,68.7,68.9,65.3,66.05,95445464.0,6391136782.0
2026-04-29,65.65,66.25,64.1,65.8,65251961.0,4257623647.0
2026-04-30,66.35,71.7,66.0,70.9,168177459.0,11666287375.0
2026-05-04,72.0,74.65,72.0,72.15,39679795.0,2915603399.0
2026-05-05,71.3,71.9,70.1,70.8,17343650.0,1226803515.0
2026-05-06,73.75,79.4,73.6,74.85,216090246.0,16500926016.0
2026-05-07,76.55,79.4,74.35,76.75,145130185.0,11133754576.0
2026-05-08,74.85,75.3,72.5,73.35,106496499.0,7803020446.0
2026-05-11,75.65,77.85,75.55,76.6,110370158.0,8474024541.0
2026-05-12,77.95,78.0,73.4,76.6,99822983.0,7561506977.0
2026-05-13,74.35,75.2,72.1,74.15,86814246.0,6430596721.0
2026-05-14,75.3,76.1,71.5,71.5,98394521.0,7186543598.0
2026-05-15,73.9,76.65,70.75,71.15,156841011.0,11574741504.0
2026-05-18,70.55,72.65,67.6,68.7,118961756.0,8304258621.0
2026-05-19,67.95,69.4,65.2,68.5,119791532.0,8014463903.0
2026-05-20,68.05,77.45,67.6,75.15,258516139.0,19218462575.0
2026-05-21,78.0,79.4,73.5,74.2,179007685.0,13771155178.0
2026-05-22,76.85,80.1,73.6,79.85,212610930.0,16513887812.0
2026-05-26,91.8,93.0,84.1,84.4,371835947.0,32579806617.0
2026-05-27,86.0,89.45,83.15,85.2,192709679.0,16653965063.0
2026-05-28,84.95,92.5,84.3,88.25,264369889.0,23659568499.0
2026-05-29,88.5,89.65,80.8,81.6,214921589.0,18216477284.0
2026-06-01,81.3,84.3,78.55,79.45,140374235.0,11359210365.0
2026-06-02,79.85,83.4,79.15,81.95,104037549.0,8492423021.0
2026-06-03,83.05,85.8,81.9,82.95,111192799.0,9361647471.0
2026-06-04,81.65,84.75,80.0,81.5,100629284.0,8331977554.0
2026-06-05,80.8,81.45,75.35,75.65,192990499.0,14927141279.0
2026-06-08,73.0,76.1,71.15,72.55,140624827.0,10255444048.0
2026-06-09,73.0,76.8,71.6,75.0,96331167.0,7189351420.0
2026-06-10,74.05,77.8,71.05,72.35,108384523.0,7967409050.0
2026-06-11,72.3,73.55,70.5,73.3,80335506.0,5782299307.0
2026-06-12,75.55,77.0,71.3,71.65,101440814.0,7534475268.0
2026-06-15,74.0,76.95,72.65,76.65,99265387.0,7521190504.0
2026-06-16,77.45,77.95,72.95,74.0,74473870.0,5588484275.0
2026-06-17,73.0,76.5,72.4,75.75,97501973.0,7279235013.0
2026-06-18,76.1,79.45,73.75,76.5,203554119.0,15559424914.0
2026-06-22,78.8,82.4,77.15,78.9,171994651.0,13669507199.0
2026-06-23,79.2,84.1,76.5,77.85,182963530.0,14700757649.0
2026-06-24,77.6,86.45,77.6,84.8,218098916.0,18241345080.0
2026-06-25,87.4,88.7,83.8,86.0,127969567.0,11048462055.0
2026-06-26,84.5,85.25,79.05,80.0,142920129.0,11608917778.0
2026-06-29,79.55,85.8,79.35,84.8,124513219.0,10281331877.0
2026-06-30,84.6,91.55,84.25,89.4,176623921.0,15767983901.0
2026-07-02,84.1,84.2,78.55,80.4,178219425.0,14496277976.0
2026-07-03,80.0,81.45,76.45,77.6,124053283.0,9775810656.0
