date,open,high,low,close,volume,amount,rsi_14,macd_dif,macd_dea,macd_hist,boll_mid,boll_upper,boll_lower,boll_width,atr_14
2025-10-17,73.65,74.1,68.35,69.1,166659866.0,11670648306.0,44.35922771471329,2.784343741523017,4.995452510748095,-2.2111087692250777,78.12,92.5229748389184,63.717025161081615,0.36873975522064495,5.236999011981765
2025-10-20,71.6,72.75,70.2,71.8,85998261.0,6154771202.0,47.819796521257636,2.1759125787331044,4.431544524345097,-2.2556319456119924,78.235,92.38264626136913,64.08735373863087,0.3616705122098583,5.123641939697354
2025-10-21,73.3,76.4,72.85,74.05,121886166.0,9150416914.0,50.57831155600442,1.853911951718402,3.916018009819758,-2.062106058101356,78.44999999999999,92.17922353767167,64.7207764623283,0.3500120723434465,5.086238944004687
2025-10-22,73.85,75.9,72.5,74.85,82298535.0,6133300353.0,51.558875578704395,1.6443227202770458,3.4616789519112157,-1.8173562316341698,78.525,92.15293184293859,64.89706815706143,0.34709791386026306,4.965793305147209
2025-10-23,74.5,75.0,71.85,74.05,91305190.0,6709750973.0,50.48026497506224,1.3975582486887816,3.048854811266729,-1.6512965625779472,78.5975,92.10763167569904,65.08736832430095,0.3437801883189425,4.8360937833509805
2025-10-24,75.7,80.05,75.7,80.0,154628465.0,12097320317.0,57.58702494112355,1.6629415458923944,2.771672158191862,-1.1087306122994676,78.76,92.25473971590374,65.26526028409627,0.3426800334155341,4.919229941683054
2025-10-27,82.95,83.8,80.8,82.8,143794946.0,11878770764.0,60.46261532220165,2.0752738551443315,2.632392497582356,-0.5571186424380246,79.06,92.63779146446952,65.48220853553049,0.3434806846564511,4.83928494584855
2025-10-28,82.8,85.5,80.05,80.1,124471245.0,10274836310.0,56.4856069864107,2.1592917743001863,2.537772352925922,-0.3784805786257359,79.4175,92.69103024869976,66.14396975130025,0.3342721754953192,4.882907449716511
2025-10-30,81.95,82.4,77.3,79.2,141883664.0,11245295756.0,55.1826339535678,2.128715593874716,2.455961001115681,-0.32724540724096496,79.5525,92.7558279297699,66.3491720702301,0.3319399875496031,4.898414060451047
2025-10-31,79.2,79.2,74.6,75.0,108145564.0,8204539498.0,49.44998608908865,1.745458294750776,2.3138604598427004,-0.5684021650919244,79.325,92.68438463757693,65.96561536242308,0.3368265902950374,4.87709877041883
2025-11-03,74.2,75.2,71.3,72.85,95882523.0,6944375404.0,46.77139152445404,1.2537842479186025,2.101845217457881,-0.8480609695392785,78.485,91.2084181107532,65.7615818892468,0.3242254726572772,4.8073060011032
2025-11-04,73.6,75.45,71.65,71.85,74920975.0,5499102985.0,45.53589671201972,0.7745093195125605,1.836378037868817,-1.0618687183562565,77.5325,89.14647864644111,65.91852135355889,0.29958994348024665,4.7353555724529715
2025-11-05,70.0,72.35,69.35,71.7,76003489.0,5361959810.0,45.34241442172302,0.37821689048205087,1.5447458083914638,-1.166528917909413,76.565,86.54683086254278,66.58316913745722,0.2607413534263117,4.6114016029920455
2025-11-06,73.55,77.75,72.85,76.95,118576840.0,8930186892.0,52.88768021719616,0.48222462397116317,1.3322415715074039,-0.8500169475362407,75.9375,83.86127335683682,68.01372664316318,0.2086919731841796,4.714158631349757
2025-11-07,75.75,77.95,74.7,75.45,58051968.0,4413125308.0,50.732769363014995,0.4385586074857599,1.1535049787030751,-0.7149463712173152,75.535,82.61410937008851,68.45589062991148,0.18743918369202403,4.609575871967632
2025-11-10,76.0,76.7,72.5,74.7,74373722.0,5495250755.0,49.64360655441565,0.3395204622908068,0.9907080754206214,-0.6511876131298147,75.3925,82.41534055590577,68.36965944409422,0.18630077410633084,4.580320452541373
2025-11-11,75.45,75.6,71.55,72.65,70851474.0,5177861386.0,46.69285947930959,0.09452453129999583,0.8114713665964963,-0.7169468352965005,75.0175,81.76632250938256,68.26867749061743,0.1799266173728147,4.542440420216989
2025-11-12,72.5,73.55,70.7,73.25,66485006.0,4797348967.0,47.6731954705367,-0.05063780245406235,0.6390495327863847,-0.689687335240447,75.0125,81.76667025173815,68.25832974826186,0.1800811931808204,4.421551818772918
2025-11-13,72.85,75.6,71.7,75.6,88521178.0,6548446640.0,51.43997142362939,0.023672480815022823,0.5159741223921123,-0.49230164157708944,74.99249999999999,81.73671974730887,68.24828025269112,0.17986384631286798,4.384298117431995
2025-11-14,74.25,77.25,73.2,73.5,93053916.0,6999751274.0,48.10729873515946,-0.08589835116292477,0.3955996276811049,-0.4814979788440297,74.9725,81.73271449363783,68.21228550636216,0.18033851061756864,4.360419680472567
2025-11-17,73.8,75.65,72.8,72.95,60837818.0,4507146855.0,47.24398911061483,-0.21464018987883549,0.27355166416911686,-0.48819185404795234,75.16499999999999,81.42162596141429,68.90837403858569,0.1664771093305209,4.252532560438812
2025-11-18,72.65,75.65,72.2,74.0,69119836.0,5140533578.0,49.1211612275256,-0.22929957702231718,0.17298141593083005,-0.40228099295314723,75.275,81.35745968251862,69.19254031748139,0.16160636818382246,4.195208806121754
2025-11-19,74.6,74.75,72.05,73.0,49252284.0,3600236181.0,47.39162704872891,-0.317943831029055,0.07479636653885305,-0.392740197567908,75.2225,81.36728597974192,69.07771402025807,0.16337627650614978,4.088408177113058
2025-11-20,74.6,75.25,72.3,73.5,59009341.0,4345727602.0,48.3704708081613,-0.34388512597988097,-0.008939931964893757,-0.33494519401498724,75.155,81.34649671557194,68.96350328442806,0.16476606255264303,4.007093307319268
